Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Varec, Inc.",866-698-2732,https://www.varec.com/,"Peachtree Corners, GA 30092 | Locations",Manufacturer,"Manufacturer of instrumentation and control systems for measurement, management and automation of fuel and other assets. Key industries include oil and gas, aviation and defense to support bulk storage applications at tank farms, terminals, plants and refineries. Also offers a suite of software applications used for inventory management, fuel accounting, load rack automation, leak detection, intoplane fueling, resource management and more, integrates with tank gauges and other field devices, as well as SAP and other third-party ERP systems.",,,$25 - 49.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges
Gauges: High Pressure


Gauges: Radar
Gauges: Tank Level
Liquid Level Tank Gauges","All Products / Services

Automation Systems
Calibration Services
Controls and Controllers
Engineering Services
Gages
Indicators
Interfaces
Lockouts
Management Systems


Monitoring Systems
Monitors
Research, Design and Development Services
Sensors / Detectors / Transducers
Software
Storage Equipment
Terminals and Lugs
Transmitters"
Non-Linear Systems,619-521-2161,http://www.nonlinearsystems.com,"San Diego, CA 92120",Manufacturer,"Manufacturer of standard & custom electronic equipment, instruments & components including AC & DC voltmeters, digital panel meters, short depth digital panel meters, counters, frequency monitors, loop meters, signal conditioners & temperature measuring instruments. Products are available in different configurations, mounting styles & power options depending on application specifications.",,,Under $1 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: Indicating
Gauges: Liquid Level
Gauges: Pressure


Gauges: Strain
Gauges: Tank Level
Gauges: Water Level
Meters: Pressure","All Products / Services

Alarms
Ammeters
Amplifiers
Analyzers
Annunciators
Calibrators
Comparators
Conditioners
Controls and Controllers
Converters


Counters
Data Acquisition Systems
Flowmeters
Gages
Gravimeters
Indicators
Instruments
Isolators
Manufacturing Services
Measuring Equipment

View all products / services offered"
"Flite Technology, Inc.",800-327-9310,https://www.flitetech.com/,,Manufacturer,"Manufacturer & distributor of standard & custom feed screws, screw tips, barrels & precision measurement devices. Feedscrews feature tungsten hardfacing & cromex 24 triple chrome plating & can be used for extruder & injection molding machines. Measurement instruments include digital micrometers & electronic bore gages. Digital micrometers feature LCD readout, absolute & incremental measurement modes & metric reading mikes. Electronic bore gages feature precision gauge heads from 2 in. to 12 in. & pencil probe liner gauge & can be used for measurement of inside dimension of bore from 2 in. to 6 in. & barrel length up to 20 ft. Barrels feature tensile strength range from 50,000 to 59,000 & stain to fracture percent range from 0.16 to 0.21. Screw tips Feature vacuum degassed, electro-slag refined & chromium-vanadium tool steels construction.Feedscrews, barrels, screw tips & measurement devices are available with one year warranty on material & workmanship. Industries served include plastics, medical, rubber & food.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Bore


Gauges: Bore, Wireless","All Products / Services

Augers
Barrels and Drums
Cylinders
Extruding Equipment
Feedscrews
Gages
Machinery
Machining


Micrometers
Packaging Machinery
Power Screws
Processors
Screws
Tips
Wear Parts"
STAT Engineering Design,931-456-6685,http://www.stat-engineeringdesign.com/,"Crossville, TN 38571",Custom Manufacturer,"Custom manufacturer of tools and dies for automotive, appliance and electronics industries. Products include progressive and compound dies, gages, machining and welding fixtures, multi-slide tooling and form dies.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges


Gauges: Automotive","All Products / Services

Dies
Fixtures
Gages


Tooling
Tools"
"Hoyt Electrical Instrument Works, Inc.",800-258-3652,https://www.hoytmeter.com/,"Penacook, NH 03303 | Locations",Manufacturer,"Manufacturer and distributor of standard and custom digital and analog electrical instruments. Various products include meters, test equipment, transformers, relays, data loggers, controllers, timers, transducers, switches, shunts, contactors and accessories. Capabilities include machining, engineering, printing, tapping, stamping, powder coating, plating and anodizing.",,www.linkedin.com/company/2984792?trk=tyah,$5 - 9.9 Mil,200-499  Employees,"Gauges: Electronic
Gauges
Gauges: Marine


Gauges: Pressure
Gauges: Tank Level","All Products / Services

Adapters
Additive Manufacturing Services
Ammeters
Analyzers
Anemometers
Anodizing Services
Assemblies
Assembly Services
Automotive Parts
Bezels
Blocks
Coating Services


Cold Chain Equipment
Contactors
Controls and Controllers
Counters
Data Loggers
Dials
Displays
Drilling Services
Electric Wire, Cable and Cable Assemblies
Electrical Equipment
Electronics
Engineering Services

View all products / services offered"
Chicago Dial Indicator Co.,800-344-4243,https://www.dialindicator.com/,"Des Plaines, IL 60016",Manufacturer,"Custom manufacturer of electronic & mechanical indicators & gages. Types of gages include bore, comparator, continuous process, depth, dial, diameter, differential pressure, fixture, height, internal, optical, precision, thickness & groove gages. Accessories including contact points, mounting backs, swivels, holding rods, mounting collets, gage bases, data output cables, lifting levers & dust caps are also available. Capabilities include gage repairing, reassembling & calibrating.","CDI has been a manufacturer of innovative state-of-the-art digital and mechanical gages since 1932. We've been working to develop new, more accurate, more advanced gages from the beginning. All this experience helps us to serve our customers more responsively, more efficiently, and more economically. Also, we pay close attention to the requests of every customer. Your custom-designed gage will have exactly the features you want. 

While our gages are built to American Gage Design specifications, and have the precision and accuracy customers have come to expect, our digital Logic OEM and mechanical OEM gages are our flagship lines. They represent the best in both digital and mechanical OEM gages. Whatever your gage application, we are ready to design a gage of the highest quality to meet your exact requirements. 

Our company's foundation was forged long ago. Our ongoing success lies in today. Throughout our website you will see the finest mechanical, and electronic indicators and accessories More... on the market, built and serviced with the same steadfast commitment that put us where we are today. For those special needs, we offer custom-designed gages for all your unique applications. CDI is moving forward, just as we always have. 

 We, the employees of Chicago Dial Indicator, are committed to exceeding the requirements of our customers and co-workers the first time -- every time- -- through a zero defects and continuous quality improvement philosophy. Less",,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: Automotive
Gauges: Bore


Gauges: Comparator
Gauges: Continuous Process
Gauges: Custom
Gauges: Depth
Gauges: Dial

View all Gages categories","All Products / Services

Attachments
Backs and Backing
Bases
Calibration Services
Chucks and Collets
Dials
Gages
Guards
Holders
Indicators


Inspection Equipment
Instruments
Maintenance and Repair Services
Measuring Equipment
Points
Probes
Readout Systems
Stands
Swivels"
Sentry Aerospace Corp.,732-617-8225,http://www.sentryaerospace.com,"Morganville, NJ 07751",Distributor,"Aircraft & Aerospace Instruments, Helicopter Parts, Radio Equipment, Bearings, Radar Supplies, Hardware, Engine Parts, Air Conditioners, Survival Equipment, Wheel & Brake Parts, Ordnance Parts, Tank Parts, Aircraft Ground Support Equipment",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges: Altitude & Thermometer Combined
Gauges: Automatic Control
Gauges: Combined Indicating & Recording
Gauges: Cylinder, Auto


Gauges: Dial
Gauges: Diesel Fuel
Gauges: Fuel
Gauges: Gasoline
Gauges: Indicating

View all Gages categories","All Products / Services

Absorbers
Accelerometers
Actuators
Afterburners
Aircraft Parts
Alarms
Analyzers
Antennas
Axles
Balancers


Batteries
Blades
Boards
Brackets
Brakes
Chains
Chocks
Clamps
Cleaning Equipment
Clips

View all products / services offered"
"Innovative Machine Solutions, LLC",888-344-3842,http://ims-eng.net/,"Moffett Field, CA 94035 | Locations",Distributor,"Machine tool products and services provider specializing in machine tool upgrades, rebuilds, CNC retrofits, maintenance, and repairs. Trained full-line distributor of products and services including but not limited to linear encoders, rotary encoders, incremental encoders, absolute encoders, digital readouts, length gauges, CNC systems, motors, drives, and metrology hardware and software. Services include machine tool maintenance, repairs, metrology, mechanical engineering, electrical engineering, shop moves, rebuilds, CNC retrofits, and upgrades. Markets served include hi-tech companies, research laboratories, universities, government agencies, and manufacturing facilities.",,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges


Gauges: Industrial","All Products / Services

Assembly Machinery
Automation Systems
Calibration Services
Centers
Consulting Services
Controls and Controllers
Drills
Electrical Services
Encoders
Engineering Services
Fabricating Machinery
Gages
Grinders


Installation Services
Lathes
Machine Tool Parts and Accessories
Machine Tools
Maintenance and Repair Services
Metrology Services
Mills
Motors
Platforms
Probes
Readout Systems
Research, Design and Development Services
Retrofitting Services

View all products / services offered"
"Spence Industries, Inc.",800-991-1396,https://jo-plug.com/,"Warren, MI 48091",Manufacturer,"Manufacturer of tapped hole location gages for aerospace, automotive, defense, electronic, and medical industries. Types of gages include inspection, threaded, precision, metric, height, limit, diameter, and bore gages.",,,Under $1 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Bore


Gauges: Custom
Gauges: Diameter
Gauges: Height
Gauges: Hole Location
Gauges: Inspection

View all Gages categories","All Products / Services

Die Components
Gages
Inserts


Inspection Equipment
Measuring Equipment
Tools"
Stride Tool: Imperial Div,888-467-8665,https://imperial-tools.com/,"Glenwillow, OH 44139",Manufacturer,"Manufacturer of tools and accessories for HVAC/R service, tube working, electrical, automotive and industrial applications. Various types of tools include assembly, tubing, bending, cable lacing, crimping, deburring, flaring, HVAC, swaging, precision and reamer cutting tools. Various products include adapters, analyzers, bags, cutters, crimpers, strippers, gauges, cylinders, heaters, hones, plugs, pliers, oil pumps, pullers, strippers, repairs kits, testers, detectors, shears and wrenches. Made in USA.",,http://www.linkedin.com/groups/Imperial-Tools-4574930,$25 - 49.9 Mil,100-199  Employees,"Gauges: Electronic
Gauges
Gauges: Precision


Gauges: Pressure
Gauges: Refrigeration
Gauges: Vacuum","All Products / Services

Adapters
Air Conditioner Parts
Analyzers
Bags
Benders
Breakers
Calculators
Calibrators
Chargers
Compressors
Connectors
Controls and Controllers


Couplers and Couplings
Crimpers
Cutters and Cutting Machinery
Cylinders
Deburring Equipment
Fittings
Flaring Equipment
Gages
Heaters
Hoists
Honing Equipment
Hose

View all products / services offered"
